year,month,offense,age,age_group,sex,race,weapon
2021,Jun,Aggravated Assault,42,40-49,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,38,30-39,Male,Black or African American,Unarmed
2021,Jun,Robbery,28,25-29,Male,White,Unarmed
2021,Jun,Aggravated Assault,36,30-39,Male,White,Unarmed
2021,Jun,Aggravated Assault,22,20-24,Female,Black or African American,Unarmed
2021,Jun,Robbery,44,40-49,Male,White,Unarmed
2021,Jun,Aggravated Assault,54,50 or above,Male,White,Unarmed
2021,Jul,Aggravated Assault,30,30-39,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,53,50 or above,Male,White,Unarmed
2021,Jun,Aggravated Assault,43,40-49,Female,Black or African American,Unarmed
2021,Jul,Rape,30,30-39,Male,White,Unarmed
2021,Jul,Aggravated Assault,29,25-29,Male,White,Unarmed
2021,Jul,Murder and Nonnegligent Manslaughter,27,25-29,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,44,40-49,Male,White,Unarmed
2021,Jul,Aggravated Assault,44,40-49,Male,White,Unarmed
2021,Sep,Aggravated Assault,23,20-24,Female,Black or African American,Unarmed
2021,Jul,Aggravated Assault,36,30-39,Male,Black or African American,Unarmed
2021,Aug,Aggravated Assault,62,50 or above,Male,White,Unarmed
2021,Aug,Aggravated Assault,48,40-49,Male,White,Unarmed
2021,Jul,Aggravated Assault,29,25-29,Male,White,Unarmed
2021,Jul,Aggravated Assault,54,50 or above,Female,Black or African American,Unarmed
2021,Jul,Robbery,36,30-39,Male,White,Unarmed
2021,Oct,Aggravated Assault,32,30-39,Female,White,Unarmed
2021,Aug,Aggravated Assault,31,30-39,Male,White,Unarmed
2021,Aug,Robbery,27,25-29,Male,Black or African American,Unarmed
2021,Dec,Rape,46,40-49,Male,Black or African American,Unarmed
2021,Aug,Aggravated Assault,39,30-39,Male,White,Unarmed
2021,Aug,Robbery,27,25-29,Male,White,Unarmed
2021,Aug,Aggravated Assault,41,40-49,Male,White,Unarmed
2021,Aug,Aggravated Assault,45,40-49,Male,White,Unarmed
2021,Aug,Aggravated Assault,48,40-49,Male,White,Unarmed
2021,Aug,Aggravated Assault,30,30-39,Female,White,Unarmed
2021,Sep,Aggravated Assault,42,40-49,Female,White,Unarmed
2021,Sep,Aggravated Assault,43,40-49,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,38,30-39,Male,White,Unarmed
2021,Sep,Aggravated Assault,38,30-39,Male,White,Unarmed
2021,Sep,Aggravated Assault,37,30-39,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,18,Under 20,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,19,Under 20,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,32,30-39,Female,White,Unarmed
2021,Sep,Aggravated Assault,36,30-39,Male,White,Unarmed
2021,Sep,Aggravated Assault,39,30-39,Male,White,Unarmed
2021,Sep,Aggravated Assault,45,40-49,Male,White,Unarmed
2021,Oct,Robbery,30,30-39,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,25,25-29,Male,White,Unarmed
2021,Oct,Aggravated Assault,56,50 or above,Male,White,Unarmed
2021,Oct,Robbery,21,20-24,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,26,25-29,Female,Black or African American,Unarmed
2021,Oct,Aggravated Assault,25,25-29,Male,White,Unarmed
2021,Oct,Robbery,22,20-24,Male,Black or African American,Unarmed
2021,Oct,Robbery,43,40-49,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,45,40-49,Male,Black or African American,Unarmed
2021,Nov,Robbery,45,40-49,Male,White,Unarmed
2021,Oct,Robbery,20,20-24,Male,Black or African American,Unarmed
2021,Oct,Robbery,19,Under 20,Male,Black or African American,Unarmed
2021,Oct,Robbery,49,40-49,Male,White,Unarmed
2021,Oct,Aggravated Assault,63,50 or above,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,35,30-39,Male,White,Unarmed
2021,Oct,Aggravated Assault,32,30-39,Male,White,Unarmed
2021,Oct,Aggravated Assault,51,50 or above,Female,White,Unarmed
2021,Oct,Aggravated Assault,52,50 or above,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,54,50 or above,Male,White,Unarmed
2021,Oct,Aggravated Assault,30,30-39,Male,White,Unarmed
2021,Oct,Aggravated Assault,48,40-49,Female,Black or African American,Unarmed
2021,Oct,Aggravated Assault,32,30-39,Female,Black or African American,Unarmed
2021,Nov,Robbery,21,20-24,Male,White,Unarmed
2021,Nov,Robbery,21,20-24,Female,White,Unarmed
2021,Nov,Aggravated Assault,38,30-39,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,35,30-39,Male,Black or African American,Unarmed
